,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ancud,0,CL,1566266526,93,-41.87,-73.83,37.4,4.7
1,Zhezkazgan,40,KZ,1566266528,56,47.8,67.71,68.0,8.95
2,Kodiak,1,US,1566266529,88,39.95,-94.76,84.0,6.93
3,Bingol,0,TR,1566266530,33,38.88,40.49,64.72,2.71
4,Dolny Kubin,0,SK,1566266531,88,49.21,19.3,66.0,2.24
5,Caravelas,0,BR,1566266532,89,-17.73,-39.27,72.1,8.28
6,Qaanaaq,100,GL,1566266533,95,77.48,-69.36,36.64,1.1
7,Pacific Grove,1,US,1566266534,68,36.62,-121.92,73.0,17.22
8,Albany,1,US,1566266394,100,42.65,-73.75,77.0,5.82
9,Naze,100,NG,1566266537,96,5.43,7.07,73.18,4.41
10,Bluff,0,AU,1566266538,18,-23.58,149.07,68.5,12.59
11,Cape Town,0,ZA,1566266438,76,-33.93,18.42,57.0,16.11
12,Marsh Harbour,22,BS,1566266540,75,26.54,-77.06,84.16,14.25
13,Mamallapuram,75,IN,1566266541,100,12.63,80.17,78.8,5.82
14,Butaritari,100,KI,1566266542,73,3.07,172.79,82.18,8.3
15,Garden City,1,US,1566266544,18,43.62,-116.24,93.2,8.05
16,Chuy,100,UY,1566266337,77,-33.69,-53.46,44.74,9.62
17,Busselton,0,AU,1566266546,49,-33.64,115.35,61.0,12.55
18,Barcelona,75,ES,1566266461,61,41.38,2.18,79.0,10.29
19,Saldanha,0,PT,1566266548,73,41.42,-6.55,58.06,4.54
20,Ushuaia,0,AR,1566266549,64,-54.81,-68.31,37.4,4.7
21,Saskylakh,100,RU,1566266550,62,71.97,114.09,63.46,10.65
22,Bethel,90,US,1566266552,66,60.79,-161.76,53.6,10.29
23,Mgandu,42,TZ,1566266553,61,-5.96,34.11,56.44,10.76
24,Fairbanks,90,US,1566266543,43,64.84,-147.72,60.8,8.05
25,Lalganj,75,IN,1566266555,94,26.17,80.97,80.6,5.82
26,Atuona,0,PF,1566266556,74,-9.8,-139.03,79.66,17.74
27,Okhotsk,100,RU,1566266557,70,59.36,143.24,60.4,8.43
28,Biloela,0,AU,1566266559,16,-24.4,150.51,69.22,17.36
29,Pisco,20,PE,1566266560,87,-13.71,-76.2,60.8,6.93
30,Kaitangata,100,NZ,1566266561,65,-46.28,169.85,50.0,5.99
31,Pevek,1,RU,1566266562,90,69.7,170.27,43.48,5.46
32,Soe,5,EE,1566266563,93,57.91,26.05,54.0,2.24
33,Namibe,0,AO,1566266564,85,-15.19,12.15,65.44,3.0
34,Skibbereen,0,IE,1566266566,87,51.55,-9.27,50.0,8.05
35,Hithadhoo,98,MV,1566266567,69,-0.6,73.08,83.98,9.86
36,Mount Gambier,75,AU,1566266568,87,-37.83,140.78,53.6,20.8
